2019-08-10 10:40:39,195 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-08-10 10:52:12,143 [Worker-38: Update Maven projects configuration] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-08-10 10:52:17,910 [Worker-38: Update Maven projects configuration] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: encore:step10_library-master:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step10_library-master\step10_library-master\target\classes\META-INF\maven\encore\step10_library-master\pom.xml.
2019-08-10 10:52:17,910 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Lombok:Lombok:0.0.1-SNAPSHOT @ C:\0.encore\01.java\Lombok\pom.xml.
2019-08-10 10:52:22,748 [Worker-17: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Lombok:Lombok:0.0.1-SNAPSHOT @ C:\0.encore\01.java\Lombok\pom.xml.
2019-08-10 10:52:22,791 [Worker-38: Update Maven projects configuration] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /encore_step10_library-master/src/main/java
2019-08-10 10:52:22,866 [Worker-38: Update Maven projects configuration] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /encore_step10_library-master/src/test/java
2019-08-10 10:52:24,984 [Worker-38: Update Maven projects configuration] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 12 sec
2019-08-10 10:52:27,280 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:27,296 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-10 10:52:27,297 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:27,306 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-10 10:52:31,089 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ShrimpBoat:Crawling_Sample:0.0.1-SNAPSHOT @ C:\0.encore\01.java\190722_jsoup댓글크롤링\변영인\Project_Mini_WebCrawler\pom.xml.
2019-08-10 10:52:32,635 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:32,644 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\190722_jsoup댓글크롤링\변영인\Project_Mini_WebCrawler\src\main\resources
2019-08-10 10:52:32,645 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:32,659 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\190722_jsoup댓글크롤링\변영인\Project_Mini_WebCrawler\src\test\resources
2019-08-10 10:52:33,248 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Step14_TeamProject:Step14_TeamProject:0.0.1-SNAPSHOT @ C:\0.encore\01.java\Step14_TeamProject\pom.xml.
2019-08-10 10:52:33,828 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:33,842 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\Step14_TeamProject\src\main\resources
2019-08-10 10:52:33,862 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:33,880 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\Step14_TeamProject\src\test\resources
2019-08-10 10:52:33,952 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:33,963 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step10_library-master\step10_library-master\target\classes\META-INF\maven\encore\step10_library-master\src\main\resources
2019-08-10 10:52:33,970 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:33,982 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step10_library-master\step10_library-master\target\classes\META-INF\maven\encore\step10_library-master\src\test\resources
2019-08-10 10:52:36,094 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: encore:step07_mavenlombok:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step07_mavenlombok\pom.xml.
2019-08-10 10:52:36,332 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:36,342 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step07_mavenlombok\src\main\resources
2019-08-10 10:52:36,344 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:36,354 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step07_mavenlombok\src\test\resources
2019-08-10 10:52:36,576 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: encore:step08_API:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step08_API\pom.xml.
